"country_name","country_code","anio","tasa_de_cambio_oficial"
"Isla de San Martín (parte francesa)","MAF",2000,1.08270508132602
"Isla de San Martín (parte francesa)","MAF",2010,0.754308990105961
"Isla de San Martín (parte francesa)","MAF",2023,0.924839558470698
"Marruecos","MAR",2000,10.6256361666667
"Marruecos","MAR",2010,8.41715833333333
"Marruecos","MAR",2023,10.1314260970897
"Mónaco","MCO",2000,1.08270508132602
"Mónaco","MCO",2010,0.754308990105961
"Mónaco","MCO",2023,0.924839558470698
"República de Moldova","MDA",2000,12.4342166666667
"República de Moldova","MDA",2010,12.3692609613415
"República de Moldova","MDA",2023,18.1639377592166
"Madagascar","MDG",2000,1353.49616666667
"Madagascar","MDG",2010,2089.95
"Madagascar","MDG",2023,4429.57921419022
"Maldivas","MDV",2000,11.77
"Maldivas","MDV",2010,12.8
"Maldivas","MDV",2023,15.3867943548387
"Oriente Medio, Norte de África, Afganistán y Pakistán","MEA",2000,NA
"Oriente Medio, Norte de África, Afganistán y Pakistán","MEA",2010,NA
"Oriente Medio, Norte de África, Afganistán y Pakistán","MEA",2023,NA
"México","MEX",2000,9.45555833333333
"México","MEX",2010,12.6360083333333
"México","MEX",2023,17.7587166666667
"Islas Marshall","MHL",2000,1
"Islas Marshall","MHL",2010,1
"Islas Marshall","MHL",2023,1
"Ingreso mediano","MIC",2000,NA
"Ingreso mediano","MIC",2010,NA
"Ingreso mediano","MIC",2023,NA
"Macedonia del Norte","MKD",2000,65.9038666666666
"Macedonia del Norte","MKD",2010,46.4853916666667
"Macedonia del Norte","MKD",2023,56.9471916666667
"Malí","MLI",2000,710.207977031367
"Malí","MLI",2010,494.794262222947
"Malí","MLI",2023,606.569750165917
"Malta","MLT",2000,0.438149991666667
"Malta","MLT",2010,0.754308990105961
"Malta","MLT",2023,0.924839558470698
"Myanmar","MMR",2000,6.516725
"Myanmar","MMR",2010,5.63488333333333
"Myanmar","MMR",2023,NA
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA",2000,NA
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA",2010,NA
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA",2023,NA
"Montenegro","MNE",2000,1.08270508132601
"Montenegro","MNE",2010,0.754308990105979
"Montenegro","MNE",2023,0.924709622987356
"Mongolia","MNG",2000,1076.66666666667
"Mongolia","MNG",2010,1357.06416666667
