"country_name","country_code","anio","tasa_de_cambio_oficial","log_tasa"
"Países de ingreso mediano bajo","LMC",2010,NA,NA
"Países de ingreso mediano bajo","LMC",2023,NA,NA
"Ingreso mediano y bajo","LMY",2000,NA,NA
"Ingreso mediano y bajo","LMY",2010,NA,NA
"Ingreso mediano y bajo","LMY",2023,NA,NA
"Lesotho","LSO",2000,6.93982833333333,1.93727703838185
"Lesotho","LSO",2010,7.32122196115288,1.99077724862492
"Lesotho","LSO",2023,18.4502441785,2.91507760500601
"avanzada del dividendo demográfico","LTE",2000,NA,NA
"avanzada del dividendo demográfico","LTE",2010,NA,NA
"avanzada del dividendo demográfico","LTE",2023,NA,NA
"Lituania","LTU",2000,4,1.38629436111989
"Lituania","LTU",2010,2.60633333333333,0.957944380474266
"Lituania","LTU",2023,0.924839558470698,-0.0781350068159033
"Luxemburgo","LUX",2000,1.08270508132602,0.0794626145222062
"Luxemburgo","LUX",2010,0.754308990105961,-0.28195319371822
"Luxemburgo","LUX",2023,0.924839558470698,-0.0781350068159033
"Letonia","LVA",2000,0.6065,-0.500050550598032
"Letonia","LVA",2010,0.530475,-0.633982447391974
"Letonia","LVA",2023,0.924839558470698,-0.0781350068159033
"Región Administrativa Especial de Macao, China","MAC",2000,8.0259,2.0826738122605
"Región Administrativa Especial de Macao, China","MAC",2010,8.00221666666667,2.07971858663267
"Región Administrativa Especial de Macao, China","MAC",2023,8.06339008333333,2.0873340739613
"Isla de San Martín (parte francesa)","MAF",2000,1.08270508132602,0.0794626145222062
"Isla de San Martín (parte francesa)","MAF",2010,0.754308990105961,-0.28195319371822
"Isla de San Martín (parte francesa)","MAF",2023,0.924839558470698,-0.0781350068159033
"Marruecos","MAR",2000,10.6256361666667,2.36326958752788
"Marruecos","MAR",2010,8.41715833333333,2.1302722811887
"Marruecos","MAR",2023,10.1314260970897,2.31564208792658
"Mónaco","MCO",2000,1.08270508132602,0.0794626145222062
"Mónaco","MCO",2010,0.754308990105961,-0.28195319371822
"Mónaco","MCO",2023,0.924839558470698,-0.0781350068159033
"República de Moldova","MDA",2000,12.4342166666667,2.52045208103445
"República de Moldova","MDA",2010,12.3692609613415,2.51521444018482
"República de Moldova","MDA",2023,18.1639377592166,2.89943818662868
"Madagascar","MDG",2000,1353.49616666667,7.21044627688682
"Madagascar","MDG",2010,2089.95,7.64489542122771
"Madagascar","MDG",2023,4429.57921419022,8.39605987301766
"Maldivas","MDV",2000,11.77,2.46555392127219
"Maldivas","MDV",2010,12.8,2.54944517092557
"Maldivas","MDV",2023,15.3867943548387,2.733509632122
"Oriente Medio, Norte de África, Afganistán y Pakistán","MEA",2000,NA,NA
"Oriente Medio, Norte de África, Afganistán y Pakistán","MEA",2010,NA,NA
"Oriente Medio, Norte de África, Afganistán y Pakistán","MEA",2023,NA,NA
"México","MEX",2000,9.45555833333333,2.2466027520151
"México","MEX",2010,12.6360083333333,2.53655054243102
"México","MEX",2023,17.7587166666667,2.8768764751934
"Islas Marshall","MHL",2000,1,0
"Islas Marshall","MHL",2010,1,0
"Islas Marshall","MHL",2023,1,0
"Ingreso mediano","MIC",2000,NA,NA
"Ingreso mediano","MIC",2010,NA,NA
"Ingreso mediano","MIC",2023,NA,NA
"Macedonia del Norte","MKD",2000,65.9038666666666,4.1881971145469
"Macedonia del Norte","MKD",2010,46.4853916666667,3.83913810552935
"Macedonia del Norte","MKD",2023,56.9471916666667,4.04212437641508
"Malí","MLI",2000,710.207977031367,6.56555785253738
"Malí","MLI",2010,494.794262222947,6.20414204429699
"Malí","MLI",2023,606.569750165917,6.40781972616718
"Malta","MLT",2000,0.438149991666667,-0.825193980499638
"Malta","MLT",2010,0.754308990105961,-0.28195319371822
"Malta","MLT",2023,0.924839558470698,-0.0781350068159033
"Myanmar","MMR",2000,6.516725,1.87437194912985
"Myanmar","MMR",2010,5.63488333333333,1.72897644334366
"Myanmar","MMR",2023,NA,NA
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA",2000,NA,NA
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA",2010,NA,NA
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA",2023,NA,NA
"Montenegro","MNE",2000,1.08270508132601,0.079462614522197
"Montenegro","MNE",2010,0.754308990105979,-0.281953193718197
